date,ticker,rank,composite_score,momentum,lowvol,quality
2026-04-30,SNDK,1,6.0278,16.4324,-8.9234,2.443
2026-04-30,LITE,2,3.5956,9.4329,-3.0173,-1.0783
2026-04-30,WDC,3,1.6543,4.3636,-2.5272,1.1535
2026-04-30,NVDA,4,1.3935,0.2862,-0.4162,6.8761
2026-04-30,CIEN,5,1.3812,3.9968,-1.7849,-0.4086
2026-04-30,VRSN,6,1.3447,-0.3444,0.3806,7.0138
2026-04-30,TER,7,1.2529,2.4244,-0.765,1.3509
2026-04-30,FIX,8,0.9855,1.9527,-1.0193,1.5745
2026-04-30,STX,9,0.9335,2.7346,-3.2666,2.7307
2026-04-30,LRCX,10,0.8775,1.5305,-1.2499,2.436
